"Total_Less_lethal_force_2020","ORI","Population","Police Department"
NA,"NC0130100",98411,"Concord Police Department"
NA,"AZ0130000",98246,"Yavapai County Sheriff's Office"
14,"MO0480800",98142,"Lee's Summit Police Department"
NA,"NB0770000",98100,"Sarpy County Sheriff's Office"
NA,"MI7417400",97735,"St. Clair County Sheriff's Office"
NA,"NC0760000",97717,"Randolph County Sheriff's Office"
NA,"CO0070400",97600,"Longmont Police Department"
NA,"IN0290700",97481,"Fishers Police Department"
7,"UT0180500",97091,"Sandy Police Department"
37,"WA0173600",97071,"Federal Way Police Department"
NA,"OH0830000",96802,"Warren County Sheriff's Office"
15,"WI0680000",96741,"Waukesha County Sheriff"
6,"FL0062700",96428,"Sunrise Police Department"
NA,"NY0010100",96318,"Albany Police Department"
16,"CA0360200",96309,"Chino Police Department"
NA,"CA0390600",96067,"Tracy Police Department"
30,"FL0060600",95669,"Plantation Police Department"
15,"OK0550300",95571,"Edmond Police Department"
18,"NY0275400",95431,"Greece Town Police Department"
NA,"WA0370000",95364,"Whatcom County Sheriff's Office"
NA,"NY0435300",95165,"Ramapo Town Police Department"
38,"CA0240000",95142,"Merced County Sheriff's Office"
22,"MA0031100",94886,"New Bedford Police Department"
NA,"NJ0150700",94561,"Toms River Township"
6,"MA0112000",94519,"Quincy Police Department"
25,"WA0170800",94470,"Kirkland Police Department"
83,"TX1700100",94451,"Conroe Police Department"
34,"MA0051400",94223,"Lynn Police Department"
1,"MI8290800",94128,"Canton Public Safety"
8,"NC0110100",93980,"Asheville Police Department"
NA,"WA0390500",93862,"Yakima Police Department"
58,"WA0370100",93629,"Bellingham Police Department"
NA,"FL0280000",93622,"Highlands County Sheriff's Office"
7,"MI8234300",93507,"Dearborn Police Department"
2,"MI8253800",93342,"Livonia Police Department"
NA,"CA0196900",93336,"South Gate Police Department"
NA,"SC0100800",93203,"North Charleston Police Department"
NA,"",NA,"Roswell Police Department"
NA,"MD0050000",92622,"Calvert County Sheriff's Department"
8,"CA0420300",91692,"Santa Barbara Police Department"
NA,"UT0270100",91673,"St. George Police Department"
NA,"SC0290000",91631,"Lancaster County Sheriff's Office"
3,"CA0010700",91200,"Livermore Police Department"
NA,"OK0720100",90956,"Broken Arrow Police Department"
13,"CA0302400",90741,"Westminster Police Department"
NA,"MI0310300",90541,"Allegan County Sheriff's Office"
48,"FL0360100",90380,"Fort Myers Police Department"
13,"MO0920100",89698,"O'Fallon Police Department"
67,"NH0064600",89671,"Nashua Police Department"
NA,"SC0180000",89658,"Dorchester County Sheriff's Office"
23,"AZ0071500",89607,"Goodyear Police Department"
46,"AZ0070100",89338,"Avondale Police Department"
12,"AR0720100",89252,"Fayetteville Police Department"
NA,"CA0011200",89239,"San Leandro Police Department"
0,"CT0010300",89140,"Norwalk Police Department"
17,"MA0030800",89136,"Fall River Police Department"
NA,"FL0130700",89017,"Miami Beach Police Department"
NA,"IL0220000",88647,"DuPage County Sheriff's Office"
15,"SC0100000",88546,"Charleston County Sheriff's Office"
12,"TX0572000",88492,"Richardson Police Department"
23,"CA0349600",88314,"Citrus Heights Police Department"
14,"IL0100100",88418,"Champaign Police Department"
24,"WV0200000",87505,"Kanawha County Sheriff's Office"
NA,"NC0180000",87039,"Catawba County Sheriff's Office"
15,"CA0411300",86983,"Redwood City Police Department"
4,"NJ0110300",86805,"Hamilton Police"
NA,"NY0030000",86722,"Broome County Sheriff's Office"
NA,"CA0430800",86416,"Milpitas Police Department"
15,"IL0450600",86366,"Elgin Police Department"
10,"IN0530100",86347,"Bloomington Police Department"
NA,"CA0192800",86269,"Hawthorne Police Department"
50,"CA0330800",86058,"Hemet Police Department"
33,"NC0360500",85967,"Gaston County Police Department"
81,"WA0390000",85950,"Yakima County Sheriff's Office"
28,"IL0492100",85739,"Waukegan Police Department"
118,"WI0130000",85703,"Dane County Sheriff's Office"
63,"FL0520800",85594,"Largo Police Department"
NA,"MN0690600",85555,"Duluth Police Department"
2,"GA0605800",85408,"Johns Creek Police Department"
NA,"SC0210000",85322,"Florence County Sheriff's Office"
38,"MN0270100",85159,"Bloomington Police Department"
8,"NM0260100",85101,"Santa Fe Police Department"
NA,"CT0003400",85080,"Danbury Police Department"
2,"NJ0160200",85058,"Clifton Police"
NA,"MN0020000",85010,"Anoka County Sheriff's Office"
30,"TX0710000",84959,"El Paso County Sheriff's Office"
7,"CA0390300",84929,"Manteca Police Department"
NA,"MN0620000",84720,"Ramsey County Sheriff's Office"
NA,"CA0301400",84448,"Newport Beach Police Department"
3,"TX2460200",84210,"Georgetown Police Department"
25,"CA0240600",84197,"Merced Police Department"
NA,"OR0150400",84016,"Medford Police Department"
NA,"TX0570400",83926,"Carrollton Police Department"
NA,"CA0190100",83817,"Alhambra Police Department"
13,"FL0050700",83806,"Melbourne Police Department"
9,"CA0431100",83745,"Mountain View Police Department"
5,"CA0011100",83164,"Pleasanton Police Department"
NA,"NJ0111100",82909,"Trenton Police"
32,"VA1140000",82871,"Lynchburg Police Department"
18,"CA0300300",81901,"Buena Park Police Department"
16,"MA0093900",81552,"Somerville Police Department"
NA,"NY0370000",81507,"Oswego County Sheriff"
13,"RI0040200",81313,"Cranston Police Department"
19,"MI8281700",81244,"Westland Police Department"
NA,"AZ0080000",81158,"Mohave County Sheriff's Office"
52,"MN0270300",80897,"Brooklyn Park Police Department"
3,"MI6338900",80708,"Farmington Hills Police Department"
3,"TX0611200",80641,"Flower Mound Police Department"
NA,"RI0020300",80605,"Warwick Police Department"
1,"NY0435000",80462,"Clarkstown Town Police Department"
NA,"FL0560000",80374,"St. Lucie County Sheriff's Office"
6,"TX1081100",80098,"Pharr Police Department"
5,"UT0181800",80090,"South Jordan Police Department"
NA,"FL0500300",79913,"Boynton Beach Police Department"
19,"TX0140700",79878,"Temple Police Department"
NA,"CA0302200",79795,"Tustin Police Department"
81,"TX0920500",79785,"Longview Police Department"
52,"AR0160100",79702,"Jonesboro Police Department"
NA,"NY0340000",79689,"Ontario County Sheriff's Office"
NA,"TX1260000",79612,"Johnson County Sheriff's Office"
NA,"NY0310000",79559,"Niagara County Sheriff's Office"
8,"UT0060300",79240,"Layton Police Department"
NA,"CA0040000",79208,"Butte County Sheriff's Office"
1,"NY0015300",79082,"Colonie Town Police Department"
57,"LA0100200",79077,"Lake Charles Police Department"
NA,"OH0090000",78832,"Butler County Sheriff's Office"
NA,"NY0320000",78748,"Oneida County Sheriff"
NA,"NY0590400",78707,"New Rochelle Police Department"
29,"LA0290000",78615,"Lafourche Parish Sheriff's Office"
NA,"TX0460100",78610,"New Braunfels Police Department"
NA,"CA0280200",78237,"Napa Police Department"
8,"GA0760200",78065,"Warner Robins Police Department"
8,"CA0010100",78047,"Alameda Police Department"
25,"NC0360600",77918,"Gastonia Police Department"
3,"MI2812800",77813,"Grand Traverse County Sheriff's Office"
1,"OH0184200",77684,"Parma Police Department"
NA,"CA0361100",77511,"Upland Police Department"
NA,"LA0550000",77359,"Terrebonne County Sheriff's Office"
25,"MI2312300",77182,"Eaton County Sheriff's Office"
22,"WA0110200",76970,"Pasco Police Department"
NA,"FL0450000",76839,"Nassau County Sheriff's Office"
NA,"SC0390000",76830,"Pickens County Sheriff's Office"
NA,"PA0350400",76719,"Scranton Police Department"
20,"WI0520200",76573,"Racine Police Department"
9,"NY0145500",76536,"Cheektowaga Police Department"
36,"MT0320100",76468,"Missoula Police Department"
